#Table1,,,,,,,,,,,,,,
objid,ra,dec,photoz,photozerr,specz,speczerr,proj_sep,umag,umagerr,gmag,gmagerr,rmag,rmagerr,obj_type
1.24E+18,258.29265,63.985146,0.085282,0.010113,0.08151872,2.39E-05,7.740959022,19.67687,0.06175372,17.76402,0.006555113,16.86453,0.004725042,3
1.24E+18,258.27283,64.091241,0.088189,0.014223,0.08209412,2.32E-05,3.760580145,19.86349,0.07111396,17.65395,0.005972654,16.6936,0.004293768,3
1.24E+18,258.27283,64.091241,0.088189,0.014223,0.08216956,2.08E-05,3.760580145,19.86349,0.07111396,17.65395,0.005972654,16.6936,0.004293768,3
1.24E+18,258.26575,64.117134,0.077509,0.009269,0.08092269,1.39E-05,3.863182086,18.47112,0.02857237,16.47559,0.003546358,15.53158,0.002782618,3
1.24E+18,258.30379,64.028753,0.075191,0.010488,0.07704972,1.99E-05,5.967263126,19.62584,0.05324038,17.66483,0.005772438,16.78377,0.004320311,3
1.24E+18,258.33535,64.009444,0.078664,0.024388,0.0798867,6.26E-06,7.357714129,18.47799,0.0237752,17.75812,0.006049542,17.6492,0.006920462,3
1.24E+18,258.33535,64.009444,0.078664,0.024388,0.07988858,6.27E-06,7.357714129,18.47799,0.0237752,17.75812,0.006049542,17.6492,0.006920462,3
1.24E+18,258.34049,64.069079,0.079088,0.008573,0.0761909,1.81E-05,5.713924502,18.6956,0.0318257,16.64821,0.003805802,15.70953,0.00295844,3
1.24E+18,258.34049,64.069079,0.079088,0.008573,0.07623031,1.52E-05,5.713924502,18.6956,0.0318257,16.64821,0.003805802,15.70953,0.00295844,3
1.24E+18,258.32931,64.076861,0.07844,0.007013,0.08112399,1.29E-05,5.3272499,18.13652,0.02943196,16.10246,0.003338487,15.1578,0.00259548,3
1.24E+18,258.3913,64.013379,0.087447,0.009002,0.08209191,2.14E-05,8.358402309,18.50754,0.04065367,16.4846,0.004185345,15.53414,0.003099272,3
1.24E+18,258.3913,64.013379,0.087447,0.009002,0.08205031,1.75E-05,8.358402309,18.50754,0.04065367,16.4846,0.004185345,15.53414,0.003099272,3
1.24E+18,258.40361,63.98859,0.06528,0.02553,0.07087519,1.31E-05,9.530087843,19.30243,0.04491448,17.66492,0.005882863,16.95638,0.004768266,3
1.24E+18,258.36616,64.122564,0.094656,0.018355,0.07766051,3.00E-05,6.459328942,20.79056,0.107673,18.5597,0.008470521,17.65919,0.006096445,3
1.24E+18,258.36616,64.122564,0.094656,0.018355,0.07763089,2.49E-05,6.459328942,20.79056,0.107673,18.5597,0.008470521,17.65919,0.006096445,3
1.24E+18,258.40644,64.022284,0.110823,0.022869,0.0785919,6.16E-06,8.407069532,19.85264,0.04450691,18.96214,0.009997865,18.56886,0.009324783,3
1.24E+18,258.41279,64.133447,0.113132,0.023758,0.08195051,2.96E-05,7.818801055,19.96832,0.07072659,18.16549,0.007571448,17.22238,0.005373856,3
1.24E+18,258.41279,64.133447,0.113132,0.023758,0.08191933,2.37E-05,7.818801055,19.96832,0.07072659,18.16549,0.007571448,17.22238,0.005373856,3
1.24E+18,258.42904,64.081958,0.082613,0.008801,0.0846009,2.18E-05,7.883284246,19.00716,0.04064235,16.83723,0.004118684,15.86643,0.003114918,3
1.24E+18,258.42904,64.081958,0.082613,0.008801,0.08464299,1.63E-05,7.883284246,19.00716,0.04064235,16.83723,0.004118684,15.86643,0.003114918,3
1.24E+18,258.43112,64.083849,0.098698,0.033626,0.09021114,8.72E-06,7.930629104,19.88116,0.1057097,18.11699,0.008516422,17.40951,0.006871994,3
1.24E+18,258.45078,64.020363,0.085335,0.009769,0.08206038,1.82E-05,9.483937313,19.5123,0.05149593,17.58159,0.005724499,16.65657,0.004165171,3
1.24E+18,258.44994,64.025909,0.081894,0.013624,0.07180737,3.10E-05,9.316140418,20.05525,0.06565119,18.35306,0.008029834,17.51662,0.005922728,3
1.24E+18,258.44994,64.025909,0.081894,0.013624,0.0718016,2.51E-05,9.316140418,20.05525,0.06565119,18.35306,0.008029834,17.51662,0.005922728,3
1.24E+18,258.43205,64.123685,0.077184,0.010523,0.08079002,2.53E-05,8.146153679,20.08116,0.08206341,18.15476,0.007831404,17.27835,0.005706132,3
1.24E+18,258.46676,64.119499,0.088762,0.016934,0.08287635,5.56E-06,8.986028878,18.92277,0.0362908,17.83406,0.00681372,17.36895,0.006322416,3
1.24E+18,258.48871,64.111343,0.079721,0.009565,0.08089872,2.86E-05,9.483374281,19.85553,0.06715845,17.81776,0.006377555,16.88524,0.004626879,3
1.24E+18,258.48871,64.111343,0.079721,0.009565,0.08089609,2.33E-05,9.483374281,19.85553,0.06715845,17.81776,0.006377555,16.88524,0.004626879,3
